_unit_id,sentiment:confidence,text
623495513,0.6264,#AAPL:The 10 best Steve Jobs emails ever...http://t.co/82G1kL94tx
623495514,0.8129,"RT @JPDesloges: Why AAPL Stock Had a Mini-Flash Crash Today $AAPL #aapl
http://t.co/hGFcjYa0E9"
623495515,1,My cat only chews @apple cords. Such an #AppleSnob.
623495516,0.5848,"I agree with @jimcramer that the #IndividualInvestor should own not trade #Apple #AAPL, it's extended so today's pullback is good to see"
623495517,0.6474,Nobody expects the Spanish Inquisition #AAPL
623495518,0.5975,#AAPL:5 Rocket Stocks to Buy for December Gains: Apple and More...http://t.co/eG5XhXdLLS
623495519,0.8468,Top 3 all @Apple #tablets. Damn right! http://t.co/RJiGn2JUuB
623495520,0.6736,CNBCTV: #Apple's margins better than expected? #aapl http://t.co/7geVrtOGLK
623495521,0.7997,Apple Inc. Flash Crash: What You Need to Know http://t.co/YJIgtifdAj #AAPL
623495522,0.636,#AAPL:This Presentation Shows What Makes The World's Biggest Tech Companies ...http://t.co/qlH9PqSoSd
623495523,1,WTF MY BATTERY WAS 31% ONE SECOND AGO AND NOW IS 29% WTF IS THIS @apple
623495524,0.6658,Apple Watch Tops Search Engine List of Best Wearable Tech http://t.co/LTEzJzqqF8 #AAPL #iWatch #AppleWatch
623495525,0.8381,"The Best-Designed #iPhone #Apps In the World, According to @apple: http://t.co/Razqvpxofg http://t.co/ev7uKWiEcz"
623495526,1,RT @peterpham: Bought my @AugustSmartLock at the @apple store..pretty good logo match . can't wait to install it! http://t.co/z8VKMhbnR3
623495527,1,@apple Contact sync between Yosemite and iOS8 is seriously screwed up. It used to be much more stable in the past. #icloud #isync
623495528,0.4798,#aapl @applenws Thanks to the non factual dumb Twitter followers stock drops 3 points in one minute. Thanks dummies. #rumors
623495529,0.9399,WARNING IF YOU BUY AN IPHONE 5S UNLOCKED FROM @APPLE IPHONE YOU CANNOT USE IT ON VERIZON NETWORK
623495530,0.6904,"@Apple John Cantlie has been a prisoner of ISIS for 739 days, show you have not abandoned him. Sign https://t.co/WTn4fuiJ0P"
623495531,0.6621,@apple- thanks for xtra checkin at upper westside store- but why are appointments running almost 50 minutes late?
623495532,1,Why #AAPL Stock Had a Mini-Flash Crash Today: Money Morning: Nothing the analysts suggested would make a widel... http://t.co/jFGsSy2Ei3
